,Brands,Wattage,Ratings,Price,Original_price,Discount,No_of_rating,No_of_review
396,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
397,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
398,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
399,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
400,Butterfly,750 W,4.3,"₹4,499","₹8,199",45% off,"90,390 Ratings","16,508 Reviews"
401,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
402,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
403,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
404,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
405,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
406,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
407,BAJAJ,500 W,4.2,"₹2,099","₹4,125",49% off,"10,490 Ratings","5,562 Reviews"
408,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
409,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
410,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
411,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
412,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
413,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
414,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
415,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
416,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
417,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
418,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
419,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
420,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
421,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
422,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
423,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
424,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
425,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
426,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
427,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
428,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
